attribute,mechanism,eps,n_users,mean,rmse,nrmse
steps,laplace,1,1,20.573872722975594,27615.808661517724,inf
steps,laplace,1,2,134.50909617990027,19729.873950682708,1.7107105761643087
steps,laplace,1,3,-329.50547269559365,16069.580757644653,1.5598191398956245
steps,laplace,1,4,128.43457635250553,14308.689828308417,1.6041321609844017
steps,laplace,1,5,-196.13709576618473,12536.06006549491,1.4403909802854145
steps,laplace,1,6,57.534268354758275,11540.502552494338,1.4299790757486799
steps,laplace,1,7,74.1313359269718,10593.538752839773,1.4055218611398583
steps,laplace,1,8,141.02139181261623,10052.869178173845,1.395740856758866
steps,laplace,1,9,92.61383521255522,9496.184743855507,1.3676694097018638
steps,laplace,1,10,-177.4099062910383,8859.236536012884,1.3077730485762669
steps,laplace,1,11,162.48645199385675,8645.75100800318,1.3356523524618238
steps,laplace,1,12,214.4655011798429,8061.403212751424,1.2887715997056637
steps,laplace,1,13,-59.54853472371613,7796.585298864029,1.226029784555986
steps,laplace,1,14,-7.746003590163492,7472.433113327207,1.2189370317411952
steps,laplace,1,15,26.791972956145237,7271.3924868028425,1.2405711115220768
steps,laplace,1,16,-2.8574746217101197,7072.272113931285,1.2415937899330705
steps,laplace,1,17,-20.522564700869307,6826.42261495606,1.202425786297523
steps,laplace,1,18,74.50129313687272,6774.537548556717,1.2098616459242328
steps,laplace,1,19,-40.065415524789756,6556.541000836307,1.1943322931753213
steps,laplace,1,20,32.617063436442976,6346.577012231102,1.1621595766066035
steps,laplace,1,21,11.047968086451752,6042.701469927722,1.1053632689543738
steps,laplace,1,22,-248.91143560692026,6049.15545885074,1.1003730001327932
steps,laplace,1,23,-9.440142676417926,5844.072229888857,1.0992197969944555
steps,laplace,1,24,27.787357999157184,5718.503789886867,1.094571881828221
steps,laplace,1,25,-65.5336050557146,5540.864587242827,1.0446046028363098
steps,laplace,1,26,-2.8820411959245984,5526.784140109056,1.046115465144671
steps,laplace,1,27,108.7640803955102,5453.225504496306,1.0718612540583616
steps,laplace,1,28,-46.9489219326384,5272.660934390823,1.0584518495151065
steps,laplace,1,29,102.61770159414067,5348.816342133011,1.060929893311989
steps,laplace,1,30,-3.1331470324392092,5196.072079556081,1.0176619247772638
steps,laplace,1,31,-83.62411703032771,5084.782129807255,1.0111370847103847
steps,laplace,1,32,-125.52864716732095,4967.202294968866,0.9933013406038029
steps,laplace,1,33,18.95963429727539,4913.112704901987,0.9791812612872403
steps,laplace,1,34,45.59013703555118,4830.623679600186,0.9691631132094649
steps,laplace,1,35,-60.347395759409316,4749.369043749094,0.9531339876772786
steps,laplace,1,36,-59.12887532602556,4711.719971757963,0.9193585240428506
steps,laplace,1,37,-3.309089185626673,4608.117530540432,0.9564765623061359
steps,laplace,1,38,-148.21151284902365,4582.415287119805,0.9451343526249729
steps,laplace,1,39,80.60871569154186,4544.775601814049,0.9185471390040872
steps,laplace,1,40,18.23496974606152,4468.334521947093,0.9062841716691515
steps,laplace,1,41,13.539106549667517,4431.73486580305,0.9201185312070311
steps,laplace,1,42,-84.8604282995478,4328.289785988535,0.8781783588827559
steps,laplace,1,43,-44.06171110638975,4310.651319157756,0.894371536038231
steps,laplace,1,44,-45.75755188593452,4287.412081829702,0.8835224346133979
steps,laplace,1,45,119.39548466763672,4245.4405171649905,0.861609423625382
steps,laplace,1,46,-11.65570006700549,4169.045534380001,0.8683271416762405
steps,laplace,1,47,38.87814745799469,4171.037413676363,0.849221210305871
steps,laplace,1,48,10.464442570267899,4019.8186861937447,0.8368284800439798
steps,laplace,1,49,30.00133553313908,4032.218317623683,0.8190737345201368
steps,laplace,1,50,21.06594287911271,3983.811405919838,0.8253182749733622
steps,laplace,1,51,148.29892026017524,4012.8281153746916,0.83219885116972
steps,laplace,1,52,-54.827905653772376,3909.098631549574,0.8103417275049227
steps,laplace,1,53,-7.407909356307435,3830.4893350951393,0.7894984644323978
steps,laplace,1,54,-21.649620656794994,3873.825409839454,0.7978570167023633
steps,laplace,1,55,-28.31283656629877,3747.7588942234597,0.7763745373706469
steps,laplace,1,56,-41.28268822298567,3790.7713836944454,0.7757204695727161
steps,laplace,1,57,-37.2151275100999,3722.998745697134,0.7761691294848829
steps,laplace,1,58,-8.292091717507084,3702.3527311853286,0.7607499376380247
steps,laplace,1,59,7.0314924410651365,3671.024872011491,0.7531361388732521
steps,laplace,1,60,-26.183058983399334,3617.6805664889876,0.7423533284224355
steps,laplace,1,61,64.57002402855989,3627.1040382190126,0.751212222389594
steps,laplace,1,62,-28.95210001434054,3593.8856767954667,0.7495006180620899
steps,laplace,1,63,22.804059638186036,3578.364317165037,0.7415529342262858
steps,laplace,1,64,-4.166009914097018,3502.9529720484093,0.7285686770518164
steps,laplace,1,65,22.483942650668006,3494.691286261506,0.7274399475196773
steps,laplace,1,66,18.609339315925432,3464.4324937903307,0.7165596834291184
steps,laplace,1,67,84.0215872611854,3445.6609551668553,0.714778542430002
steps,laplace,1,68,74.20808288157741,3456.3000451175203,0.7169459514400432
steps,laplace,1,69,3.564003696214995,3414.461579301482,0.7082154293076429
steps,laplace,1,70,113.87988370279955,3393.270081828259,0.704813229435209
steps,laplace,1,71,-55.294076870638584,3315.096602432715,0.6877653100799259
steps,laplace,2,1,-284.5402266526096,13826.648387676012,inf
steps,laplace,2,2,148.86618928468107,9968.625580777925,0.8604445230051794
steps,laplace,2,3,27.017981449931764,8149.515064777716,0.7594325710557306
steps,laplace,2,4,0.9141261208767886,7015.544010483355,0.7471643507823127
steps,laplace,2,5,29.486927515421776,6402.849640301388,0.7663468556869708
steps,laplace,2,6,48.52228579098181,5694.5475288982725,0.6930208451964114
steps,laplace,2,7,-6.313368303746404,5278.133632178151,0.6922648517930008
steps,laplace,2,8,100.93471791462241,4990.215735946575,0.6672042176824405
steps,laplace,2,9,33.992719139255406,4663.20576886392,0.6879639629049205
