attribute,mechanism,eps,n_users,mean,rmse,nrmse
steps,laplace,1,1,0.1685942177725459,0.5231092976918753,inf
steps,laplace,1,2,0.3126951743493846,0.7658608324459867,inf
steps,laplace,1,3,0.49013940553423935,0.9711017165172994,0.4324735703778994
steps,laplace,1,4,0.6702053300266293,1.1680408763803893,0.4223850590736861
steps,laplace,1,5,0.8148603823887868,1.3520225462556454,0.40992293686181847
steps,laplace,1,6,1.0053752453066456,1.5449005391266912,0.41164203591344056
steps,laplace,1,7,1.1439386130583753,1.709041604082227,0.40592660809541675
steps,laplace,1,8,1.3196754275683646,1.882004102666073,0.40765443513898325
steps,laplace,1,9,1.4781819580954607,2.059735357299812,0.41072335748379774
steps,laplace,1,10,1.6519906876480532,2.237448968342319,0.4153646455176306
steps,laplace,1,11,1.7843847168325995,2.3857836356245845,0.4136662982285605
steps,laplace,1,12,2.0361892160673993,2.624576139316908,0.4297975837508165
steps,laplace,1,13,2.140679493812336,2.7489604459816537,0.4255333210623193
steps,laplace,1,14,2.3197965250044343,2.9240055261102786,0.4309173048936227
steps,laplace,1,15,2.450285820409478,3.0649589008567344,0.4342609454349508
steps,laplace,1,16,2.6545237081850117,3.2660344441689504,0.4457842712450756
steps,laplace,1,17,2.776099153817181,3.4107310410646807,0.4455963526136982
steps,laplace,1,18,3.012125255219243,3.6360283934476554,0.45173480111409814
steps,laplace,1,19,3.157371737919936,3.787594862411438,0.45937475799537525
steps,laplace,1,20,3.274217680659447,3.9101513288468484,0.46472864121992236
steps,laplace,1,21,3.485871492972149,4.116687122179556,0.47488298114511973
steps,laplace,1,22,3.7071219690828103,4.334867064136649,0.47910832278966137
steps,laplace,1,23,3.7588597933437176,4.4137015096173435,0.47354933296026996
steps,laplace,1,24,3.9500453083561404,4.598099857848234,0.4807532550882605
steps,laplace,1,25,4.120165195618676,4.768283711691956,0.4869318746298531
steps,laplace,1,26,4.318917239191191,4.977817167917545,0.4951489554825697
steps,laplace,1,27,4.44896631829219,5.1047075932912245,0.4969444130317524
