attribute,mechanism,eps,n_users,p_rate,tp,fn,fp,tn,accuracy,precision,recall,specificity,balanced_accuracy,t_agree_rate
steps,laplace,1,2,0.699,148,551,13,288,0.436,0.9192546583850931,0.2117310443490701,0.9568106312292359,0.43600000000000005,0.9932432432432432
steps,laplace,1,4,0.731,179,552,14,255,0.434,0.927461139896373,0.2448700410396717,0.9479553903345725,0.434,0.9776536312849162
steps,laplace,1,6,0.775,153,622,11,214,0.367,0.9329268292682927,0.19741935483870968,0.9511111111111111,0.367,0.9673202614379085
steps,laplace,1,8,0.748,152,596,14,238,0.39,0.9156626506024096,0.20320855614973263,0.9444444444444444,0.39,0.993421052631579
steps,laplace,1,10,0.799,152,647,7,194,0.346,0.9559748427672956,0.1902377972465582,0.9651741293532339,0.346,0.9736842105263158
steps,laplace,1,12,0.756,151,605,12,232,0.383,0.9263803680981595,0.19973544973544974,0.9508196721311475,0.383,0.9867549668874173
steps,laplace,1,14,0.771,157,614,12,217,0.374,0.9289940828402367,0.20363164721141375,0.9475982532751092,0.374,0.9745222929936306
steps,laplace,1,16,0.747,146,601,11,242,0.388,0.9299363057324841,0.19544846050870146,0.9565217391304348,0.388,0.9657534246575342
steps,laplace,1,18,0.759,152,607,9,232,0.384,0.9440993788819876,0.2002635046113307,0.9626556016597511,0.384,0.9868421052631579
steps,laplace,1,20,0.766,153,613,9,225,0.378,0.9444444444444444,0.19973890339425587,0.9615384615384616,0.378,0.9803921568627451
steps,laplace,1,22,0.767,165,602,18,215,0.38,0.9016393442622951,0.2151238591916558,0.9227467811158798,0.38,1.0
steps,laplace,1,24,0.772,184,588,8,220,0.404,0.9583333333333334,0.23834196891191708,0.9649122807017544,0.40399999999999997,0.9891304347826086
steps,laplace,1,26,0.767,178,589,11,222,0.4,0.9417989417989417,0.2320730117340287,0.9527896995708155,0.4,0.9831460674157303
steps,laplace,1,28,0.793,176,617,8,199,0.375,0.9565217391304348,0.22194199243379573,0.961352657004831,0.375,0.9829545454545454
steps,laplace,1,30,0.764,153,611,8,228,0.381,0.9503105590062112,0.20026178010471204,0.9661016949152542,0.381,0.9738562091503268
steps,laplace,1,32,0.767,170,597,13,220,0.39,0.9289617486338798,0.22164276401564537,0.944206008583691,0.39,0.9941176470588236
steps,laplace,1,34,0.742,152,590,17,241,0.393,0.8994082840236687,0.20485175202156333,0.9341085271317829,0.393,0.9671052631578947
