mechanism,eps,n_users,accuracy
laplace,1.0,1,1.0
laplace,1.0,2,0.50671875
laplace,1.0,3,0.33984375
laplace,1.0,4,0.25703125
laplace,1.0,5,0.2081875
laplace,1.0,6,0.17575520833333333
laplace,1.0,7,0.15006696428571428
laplace,1.0,8,0.1323828125
laplace,1.0,9,0.11807291666666667
laplace,1.0,10,0.106046875
laplace,1.0,11,0.09761363636363636
laplace,1.0,12,0.08940104166666667
laplace,1.0,13,0.08258413461538462
laplace,1.0,14,0.07786830357142857
laplace,1.0,15,0.07139583333333334
laplace,1.0,16,0.06798828125
laplace,1.0,17,0.06388786764705882
laplace,1.0,18,0.06098958333333333
laplace,1.0,19,0.05685032894736842
laplace,1.0,20,0.054296875
laplace,1.0,21,0.052038690476190474
laplace,1.0,22,0.04965909090909091
laplace,1.0,23,0.04698369565217391
laplace,1.0,24,0.04560546875
laplace,1.0,25,0.044125
laplace,1.0,26,0.04198317307692308
laplace,1.0,27,0.040630787037037035
laplace,1.0,28,0.039425223214285716
laplace,1.0,29,0.0386260775862069
laplace,1.0,30,0.03636458333333333
laplace,1.0,31,0.03501008064516129
laplace,1.0,32,0.034580078125
laplace,1.0,33,0.0334469696969697
laplace,1.0,34,0.03296875
laplace,1.0,35,0.032089285714285716
laplace,1.0,36,0.030368923611111112
laplace,1.0,37,0.030591216216216216
laplace,1.0,38,0.029251644736842105
laplace,1.0,39,0.028369391025641025
laplace,1.0,40,0.02733984375
laplace,1.0,41,0.026996951219512195
laplace,1.0,42,0.026748511904761903
laplace,1.0,43,0.025788517441860465
laplace,1.0,44,0.025408380681818183
laplace,1.0,45,0.024989583333333332
laplace,1.0,46,0.024123641304347826
laplace,1.0,47,0.023969414893617022
laplace,1.0,48,0.023359375
laplace,1.0,49,0.02292091836734694
laplace,1.0,50,0.02196875
laplace,1.0,51,0.021479779411764707
laplace,1.0,52,0.02162560096153846
laplace,1.0,53,0.02108195754716981
laplace,1.0,54,0.020234375
laplace,1.0,55,0.02015625
laplace,1.0,56,0.020066964285714285
laplace,1.0,57,0.01971217105263158
laplace,1.0,58,0.01949084051724138
laplace,1.0,59,0.01869173728813559
laplace,1.0,60,0.0186875
laplace,1.0,61,0.018373463114754098
laplace,1.0,62,0.018198084677419357
laplace,1.0,63,0.0178125
laplace,1.0,64,0.01765869140625
laplace,1.0,65,0.017125
laplace,1.0,66,0.016811079545454546
laplace,1.0,67,0.01632929104477612
laplace,1.0,68,0.01642003676470588
laplace,1.0,69,0.016211503623188406
laplace,1.0,70,0.015924107142857143
laplace,1.0,71,0.01573943661971831
laplace,2.0,1,1.0
laplace,2.0,2,0.52109375
laplace,2.0,3,0.35223958333333333
laplace,2.0,4,0.2735546875
laplace,2.0,5,0.22215625
laplace,2.0,6,0.18705729166666665
laplace,2.0,7,0.16544642857142858
laplace,2.0,8,0.14380859375
laplace,2.0,9,0.12989583333333332
laplace,2.0,10,0.11634375
laplace,2.0,11,0.10700284090909092
laplace,2.0,12,0.09963541666666667
laplace,2.0,13,0.09138221153846154
laplace,2.0,14,0.08522321428571429
laplace,2.0,15,0.08021875
laplace,2.0,16,0.07548828125
laplace,2.0,17,0.0709466911764706
laplace,2.0,18,0.06704861111111111
laplace,2.0,19,0.06417763157894738
