mechanism,eps,n_users,accuracy
laplace,1.0,1,1.0
laplace,1.0,2,0.527890625
laplace,1.0,3,0.35791666666666666
laplace,1.0,4,0.2805859375
laplace,1.0,5,0.2273125
laplace,1.0,6,0.19432291666666668
laplace,1.0,7,0.1671875
laplace,1.0,8,0.14833984375
laplace,1.0,9,0.13288194444444446
laplace,1.0,10,0.121140625
laplace,1.0,11,0.11132102272727273
laplace,1.0,12,0.10127604166666666
laplace,1.0,13,0.09459134615384615
laplace,1.0,14,0.08862723214285714
laplace,1.0,15,0.08207291666666666
laplace,1.0,16,0.078740234375
laplace,1.0,17,0.07449448529411765
laplace,1.0,18,0.07079861111111112
laplace,1.0,19,0.06652138157894737
laplace,1.0,20,0.0630546875
laplace,1.0,21,0.06084821428571428
laplace,1.0,22,0.05614346590909091
laplace,1.0,23,0.05533288043478261
laplace,1.0,24,0.05251302083333333
laplace,1.0,25,0.0500625
laplace,1.0,26,0.049074519230769234
laplace,1.0,27,0.04793981481481482
laplace,1.0,28,0.045770089285714285
laplace,1.0,29,0.04514547413793103
laplace,1.0,30,0.04211458333333333
laplace,1.0,31,0.041003024193548385
laplace,1.0,32,0.0402734375
laplace,1.0,33,0.03877367424242424
laplace,1.0,34,0.037748161764705884
laplace,1.0,35,0.03721875
laplace,1.0,36,0.035772569444444444
laplace,1.0,37,0.03480152027027027
laplace,1.0,38,0.033745888157894734
laplace,1.0,39,0.032756410256410254
laplace,1.0,40,0.0325078125
laplace,1.0,41,0.031505335365853655
laplace,1.0,42,0.031116071428571427
laplace,1.0,43,0.029727470930232557
laplace,1.0,44,0.029875710227272728
laplace,1.0,45,0.028819444444444446
laplace,1.0,46,0.027873641304347826
laplace,1.0,47,0.027709441489361702
laplace,1.0,48,0.02673828125
laplace,1.0,49,0.027369260204081633
laplace,1.0,50,0.02575625
laplace,1.0,51,0.025392156862745097
laplace,1.0,52,0.025096153846153844
laplace,1.0,53,0.02455188679245283
laplace,1.0,54,0.023697916666666666
laplace,1.0,55,0.023707386363636365
laplace,1.0,56,0.023540736607142856
laplace,1.0,57,0.023081140350877192
laplace,1.0,58,0.02240301724137931
laplace,1.0,59,0.021872351694915255
laplace,1.0,60,0.02172135416666667
laplace,1.0,61,0.02128329918032787
laplace,1.0,62,0.02112147177419355
laplace,1.0,63,0.0212921626984127
laplace,1.0,64,0.02062744140625
laplace,1.0,65,0.020064903846153847
laplace,1.0,66,0.019464962121212123
laplace,1.0,67,0.019395988805970148
laplace,1.0,68,0.01961856617647059
laplace,1.0,69,0.019166666666666665
laplace,1.0,70,0.018513392857142857
laplace,1.0,71,0.0183318661971831
laplace,2.0,1,1.0
laplace,2.0,2,0.569765625
laplace,2.0,3,0.40802083333333333
laplace,2.0,4,0.326640625
laplace,2.0,5,0.26865625
laplace,2.0,6,0.22966145833333335
laplace,2.0,7,0.20714285714285716
laplace,2.0,8,0.1801171875
laplace,2.0,9,0.16576388888888888
laplace,2.0,10,0.14909375
laplace,2.0,11,0.13703125
laplace,2.0,12,0.1264453125
laplace,2.0,13,0.12114182692307693
laplace,2.0,14,0.11150669642857143
laplace,2.0,15,0.10320833333333333
laplace,2.0,16,0.098916015625
laplace,2.0,17,0.0927297794117647
laplace,2.0,18,0.08741319444444444
laplace,2.0,19,0.08349506578947369
laplace,2.0,20,0.07909375
laplace,2.0,21,0.07635416666666667
laplace,2.0,22,0.07294744318181819
laplace,2.0,23,0.06898777173913044
laplace,2.0,24,0.06751953125
laplace,2.0,25,0.06489375
laplace,2.0,26,0.06259615384615384
laplace,2.0,27,0.06034722222222222
laplace,2.0,28,0.05858258928571428
laplace,2.0,29,0.057101293103448275
laplace,2.0,30,0.05428125
laplace,2.0,31,0.05307963709677419
laplace,2.0,32,0.051064453125
laplace,2.0,33,0.049479166666666664
laplace,2.0,34,0.048478860294117646
laplace,2.0,35,0.04681696428571429
laplace,2.0,36,0.04578993055555555
laplace,2.0,37,0.044569256756756756
laplace,2.0,38,0.04375822368421053
laplace,2.0,39,0.042423878205128204
laplace,2.0,40,0.041296875
laplace,2.0,41,0.04030487804878049
laplace,2.0,42,0.03933779761904762
laplace,2.0,43,0.03894622093023256
laplace,2.0,44,0.03799715909090909
