mechanism,eps,n_users,accuracy
laplace,1.0,1,1.0
laplace,1.0,2,0.52921875
laplace,1.0,3,0.35984375
laplace,1.0,4,0.27625
laplace,1.0,5,0.2235625
laplace,1.0,6,0.18796875
laplace,1.0,7,0.16013392857142858
laplace,1.0,8,0.13857421875
laplace,1.0,9,0.12680555555555556
laplace,1.0,10,0.115578125
laplace,1.0,11,0.10291193181818181
laplace,1.0,12,0.09484375
laplace,1.0,13,0.08995192307692308
laplace,1.0,14,0.08245535714285715
laplace,1.0,15,0.07735416666666667
laplace,1.0,16,0.07197265625
laplace,1.0,17,0.06756433823529412
laplace,1.0,18,0.062413194444444445
laplace,1.0,19,0.05982730263157895
laplace,1.0,20,0.0573359375
laplace,1.0,21,0.05427083333333333
laplace,1.0,22,0.05244318181818182
laplace,1.0,23,0.04983016304347826
laplace,1.0,24,0.04796223958333334
laplace,1.0,25,0.0463
laplace,1.0,26,0.044314903846153844
laplace,1.0,27,0.04320023148148148
laplace,1.0,28,0.04170758928571429
laplace,1.0,29,0.03988685344827586
laplace,1.0,30,0.039
laplace,1.0,31,0.03700604838709677
laplace,1.0,32,0.035986328125
laplace,1.0,33,0.034853219696969695
laplace,1.0,34,0.03450367647058823
laplace,1.0,35,0.03303125
laplace,1.0,36,0.03146701388888889
laplace,1.0,37,0.031925675675675676
laplace,1.0,38,0.029761513157894735
laplace,1.0,39,0.02952323717948718
laplace,1.0,40,0.029234375
laplace,1.0,41,0.02886814024390244
laplace,1.0,42,0.027607886904761906
laplace,1.0,43,0.02686046511627907
laplace,1.0,44,0.026136363636363635
laplace,1.0,45,0.025930555555555554
laplace,1.0,46,0.02525475543478261
laplace,1.0,47,0.024727393617021278
laplace,1.0,48,0.0246484375
laplace,1.0,49,0.023698979591836734
laplace,1.0,50,0.023475
laplace,1.0,51,0.022653186274509803
laplace,1.0,52,0.02274639423076923
laplace,1.0,53,0.021653891509433962
laplace,1.0,54,0.02166087962962963
laplace,1.0,55,0.021642045454545455
laplace,1.0,56,0.02077845982142857
laplace,1.0,57,0.020550986842105264
laplace,1.0,58,0.019854525862068966
laplace,1.0,59,0.019621292372881356
laplace,1.0,60,0.019140625
laplace,1.0,61,0.018939549180327867
