mechanism,eps,n_users,accuracy
laplace,1.0,1,1.0
laplace,1.0,2,0.529453125
laplace,1.0,3,0.3594791666666667
laplace,1.0,4,0.2823828125
laplace,1.0,5,0.22865625
laplace,1.0,6,0.1959375
laplace,1.0,7,0.168125
laplace,1.0,8,0.14908203125
laplace,1.0,9,0.13380208333333332
laplace,1.0,10,0.1215
laplace,1.0,11,0.11247159090909091
laplace,1.0,12,0.1019140625
laplace,1.0,13,0.09498798076923078
laplace,1.0,14,0.08955357142857143
laplace,1.0,15,0.08251041666666667
laplace,1.0,16,0.078623046875
laplace,1.0,17,0.07505514705882353
laplace,1.0,18,0.07138020833333333
laplace,1.0,19,0.06690789473684211
laplace,1.0,20,0.06346875
laplace,1.0,21,0.060892857142857144
laplace,1.0,22,0.05676846590909091
laplace,1.0,23,0.056351902173913046
laplace,1.0,24,0.05325520833333333
laplace,1.0,25,0.05101875
laplace,1.0,26,0.04919471153846154
laplace,1.0,27,0.04821759259259259
laplace,1.0,28,0.04619977678571428
laplace,1.0,29,0.04537176724137931
laplace,1.0,30,0.042895833333333334
laplace,1.0,31,0.04128024193548387
laplace,1.0,32,0.0402099609375
laplace,1.0,33,0.03929450757575757
laplace,1.0,34,0.03829044117647059
laplace,1.0,35,0.03760714285714286
laplace,1.0,36,0.03598524305555555
laplace,1.0,37,0.03539695945945946
laplace,1.0,38,0.033671875
laplace,1.0,39,0.03306490384615385
laplace,1.0,40,0.03275390625
laplace,1.0,41,0.03161966463414634
laplace,1.0,42,0.03138392857142857
laplace,1.0,43,0.030007267441860466
laplace,1.0,44,0.029964488636363636
laplace,1.0,45,0.028916666666666667
laplace,1.0,46,0.028179347826086956
laplace,1.0,47,0.028148271276595745
laplace,1.0,48,0.026949869791666668
laplace,1.0,49,0.027426658163265307
laplace,1.0,50,0.026059375
laplace,1.0,51,0.025738357843137254
laplace,1.0,52,0.02497295673076923
laplace,1.0,53,0.02460200471698113
laplace,1.0,54,0.023897569444444444
laplace,1.0,55,0.023732954545454547
laplace,1.0,56,0.023646763392857144
laplace,1.0,57,0.023020833333333334
laplace,1.0,58,0.02252155172413793
laplace,1.0,59,0.022259004237288136
laplace,1.0,60,0.0217578125
laplace,1.0,61,0.021521516393442623
laplace,1.0,62,0.021234879032258066
laplace,1.0,63,0.02138144841269841
laplace,1.0,64,0.0208740234375
laplace,1.0,65,0.020141826923076922
laplace,1.0,66,0.019867424242424242
laplace,1.0,67,0.019503264925373135
laplace,1.0,68,0.01957720588235294
laplace,1.0,69,0.019422554347826086
laplace,1.0,70,0.01886830357142857
laplace,1.0,71,0.01867517605633803
laplace,2.0,1,1.0
laplace,2.0,2,0.57125
laplace,2.0,3,0.410625
laplace,2.0,4,0.3303125
laplace,2.0,5,0.2733125
laplace,2.0,6,0.23109375
laplace,2.0,7,0.21180803571428572
laplace,2.0,8,0.18310546875
laplace,2.0,9,0.16800347222222223
laplace,2.0,10,0.151703125
laplace,2.0,11,0.13990056818181817
laplace,2.0,12,0.12717447916666666
laplace,2.0,13,0.12165865384615385
laplace,2.0,14,0.11256696428571429
laplace,2.0,15,0.10523958333333333
laplace,2.0,16,0.10041015625
laplace,2.0,17,0.09507352941176471
laplace,2.0,18,0.08881944444444445
laplace,2.0,19,0.08394736842105263
laplace,2.0,20,0.0808359375
laplace,2.0,21,0.07744047619047618
laplace,2.0,22,0.07370738636363636
laplace,2.0,23,0.07030570652173913
laplace,2.0,24,0.06832682291666667
laplace,2.0,25,0.06535625
laplace,2.0,26,0.06379206730769231
laplace,2.0,27,0.06090277777777778
laplace,2.0,28,0.059006696428571426
laplace,2.0,29,0.058313577586206894
laplace,2.0,30,0.055140625
laplace,2.0,31,0.054294354838709674
laplace,2.0,32,0.0527392578125
laplace,2.0,33,0.05029829545454546
laplace,2.0,34,0.048869485294117644
laplace,2.0,35,0.047357142857142855
laplace,2.0,36,0.04690538194444444
laplace,2.0,37,0.04451858108108108
laplace,2.0,38,0.04424753289473684
laplace,2.0,39,0.04335737179487179
laplace,2.0,40,0.04202734375
laplace,2.0,41,0.04149009146341463
laplace,2.0,42,0.04047247023809524
laplace,2.0,43,0.03956395348837209
laplace,2.0,44,0.03815340909090909
laplace,2.0,45,0.037649305555555554
laplace,2.0,46,0.03698709239130435
laplace,2.0,47,0.03625664893617021
laplace,2.0,48,0.03533854166666667
laplace,2.0,49,0.034697066326530614
laplace,2.0,50,0.03325625
laplace,2.0,51,0.03348039215686274
laplace,2.0,52,0.032608173076923076
laplace,2.0,53,0.032131485849056604
laplace,2.0,54,0.030850694444444444
laplace,2.0,55,0.030997159090909093
laplace,2.0,56,0.029776785714285714
laplace,2.0,57,0.02986842105263158
laplace,2.0,58,0.029321120689655172
laplace,2.0,59,0.029065148305084745
laplace,2.0,60,0.028583333333333332
laplace,2.0,61,0.02815061475409836
laplace,2.0,62,0.027915826612903226
laplace,2.0,63,0.02713045634920635
laplace,2.0,64,0.026748046875
laplace,2.0,65,0.025927884615384617
laplace,2.0,66,0.02557528409090909
laplace,2.0,67,0.025625
laplace,2.0,68,0.025020680147058823
laplace,2.0,69,0.024841485507246377
laplace,2.0,70,0.024151785714285716
laplace,2.0,71,0.024099911971830985
laplace,4.0,1,1.0
laplace,4.0,2,0.666015625
laplace,4.0,3,0.5184375
laplace,4.0,4,0.42421875
laplace,4.0,5,0.371375
laplace,4.0,6,0.3224739583333333
laplace,4.0,7,0.28756696428571427
laplace,4.0,8,0.2546484375
laplace,4.0,9,0.2346875
laplace,4.0,10,0.218171875
laplace,4.0,11,0.19730113636363636
laplace,4.0,12,0.18385416666666668
laplace,4.0,13,0.17450721153846155
laplace,4.0,14,0.158984375
laplace,4.0,15,0.15228125
laplace,4.0,16,0.142548828125
laplace,4.0,17,0.13814338235294119
laplace,4.0,18,0.1316232638888889
laplace,4.0,19,0.12235197368421052
laplace,4.0,20,0.1187421875
laplace,4.0,21,0.11348958333333334
laplace,4.0,22,0.11120738636363636
laplace,4.0,23,0.10506114130434782
laplace,4.0,24,0.10194661458333333
laplace,4.0,25,0.09824375
